--------------------------------------------------------------------------------
Periodic Process Logger with Auto Scheduled  Log Report Facility :Wed Dec  7 17:04:10 2022
--------------------------------------------------------------------------------
{'name': 'systemd', 'username': 'root', 'pid': 1, 'vms': 164.40234375}
{'name': 'irq/125-pcie-dp', 'username': 'root', 'pid': 137, 'vms': 0.0}
{'name': 'kworker/1:1-events', 'username': 'root', 'pid': 138, 'vms': 0.0}
{'name': 'kworker/4:1-events', 'username': 'root', 'pid': 139, 'vms': 0.0}
{'name': 'kworker/5:1-mm_percpu_wq', 'username': 'root', 'pid': 140, 'vms': 0.0}
{'name': 'kworker/6:1-mm_percpu_wq', 'username': 'root', 'pid': 141, 'vms': 0.0}
{'name': 'kworker/7:1-mm_percpu_wq', 'username': 'root', 'pid': 142, 'vms': 0.0}
{'name': 'acpi_thermal_pm', 'username': 'root', 'pid': 143, 'vms': 0.0}
{'name': 'vfio-irqfd-clea', 'username': 'root', 'pid': 145, 'vms': 0.0}
{'name': 'kworker/u16:3-i915', 'username': 'root', 'pid': 146, 'vms': 0.0}
{'name': 'mld', 'username': 'root', 'pid': 147, 'vms': 0.0}
{'name': 'kworker/3:1H-events_highpri', 'username': 'root', 'pid': 148, 'vms': 0.0}
{'name': 'ipv6_addrconf', 'username': 'root', 'pid': 149, 'vms': 0.0}
{'name': 'kstrp', 'username': 'root', 'pid': 158, 'vms': 0.0}
{'name': 'zswap-shrink', 'username': 'root', 'pid': 161, 'vms': 0.0}
{'name': 'kworker/u17:0+i915_flip', 'username': 'root', 'pid': 162, 'vms': 0.0}
{'name': 'charger_manager', 'username': 'root', 'pid': 169, 'vms': 0.0}
{'name': 'kworker/1:1H-kblockd', 'username': 'root', 'pid': 191, 'vms': 0.0}
{'name': 'kworker/5:2-mm_percpu_wq', 'username': 'root', 'pid': 226, 'vms': 0.0}
{'name': 'nvme-wq', 'username': 'root', 'pid': 227, 'vms': 0.0}
{'name': 'nvme-reset-wq', 'username': 'root', 'pid': 228, 'vms': 0.0}
{'name': 'nvme-delete-wq', 'username': 'root', 'pid': 229, 'vms': 0.0}
{'name': 'irq/137-ELAN051', 'username': 'root', 'pid': 233, 'vms': 0.0}
{'name': 'kworker/6:1H-events_highpri', 'username': 'root', 'pid': 234, 'vms': 0.0}
{'name': 'kworker/6:2-events', 'username': 'root', 'pid': 235, 'vms': 0.0}
{'name': 'kworker/2:1H-events_highpri', 'username': 'root', 'pid': 253, 'vms': 0.0}
{'name': 'jbd2/nvme0n1p5-', 'username': 'root', 'pid': 255, 'vms': 0.0}
{'name': 'ext4-rsv-conver', 'username': 'root', 'pid': 256, 'vms': 0.0}
{'name': 'kworker/7:1H-kblockd', 'username': 'root', 'pid': 262, 'vms': 0.0}
{'name': 'kworker/0:2-events', 'username': 'root', 'pid': 270, 'vms': 0.0}
{'name': 'kworker/4:1H-kblockd', 'username': 'root', 'pid': 294, 'vms': 0.0}
{'name': 'systemd-journald', 'username': 'root', 'pid': 299, 'vms': 85.8359375}
{'name': 'kworker/7:2-cgroup_destroy', 'username': 'root', 'pid': 316, 'vms': 0.0}
{'name': 'kworker/5:1H-events_highpri', 'username': 'root', 'pid': 324, 'vms': 0.0}
{'name': 'ipmi-msghandler', 'username': 'root', 'pid': 327, 'vms': 0.0}
{'name': 'systemd-udevd', 'username': 'root', 'pid': 349, 'vms': 24.42578125}
{'name': 'kworker/2:2-events', 'username': 'root', 'pid': 386, 'vms': 0.0}
{'name': 'kworker/3:2-events', 'username': 'root', 'pid': 389, 'vms': 0.0}
{'name': 'kworker/4:2-events', 'username': 'root', 'pid': 391, 'vms': 0.0}
{'name': 'irq/138-mei_me', 'username': 'root', 'pid': 394, 'vms': 0.0}
{'name': 'cfg80211', 'username': 'root', 'pid': 405, 'vms': 0.0}
{'name': 'irq/139-iwlwifi', 'username': 'root', 'pid': 423, 'vms': 0.0}
{'name': 'irq/140-iwlwifi', 'username': 'root', 'pid': 424, 'vms': 0.0}
{'name': 'irq/141-iwlwifi', 'username': 'root', 'pid': 425, 'vms': 0.0}
{'name': 'irq/142-iwlwifi', 'username': 'root', 'pid': 426, 'vms': 0.0}
{'name': 'irq/143-iwlwifi', 'username': 'root', 'pid': 427, 'vms': 0.0}
{'name': 'irq/144-iwlwifi', 'username': 'root', 'pid': 428, 'vms': 0.0}
{'name': 'irq/145-iwlwifi', 'username': 'root', 'pid': 429, 'vms': 0.0}
{'name': 'irq/146-iwlwifi', 'username': 'root', 'pid': 430, 'vms': 0.0}
{'name': 'irq/147-iwlwifi', 'username': 'root', 'pid': 431, 'vms': 0.0}
{'name': 'irq/148-iwlwifi', 'username': 'root', 'pid': 432, 'vms': 0.0}
{'name': 'cryptd', 'username': 'root', 'pid': 446, 'vms': 0.0}
{'name': 'card0-crtc0', 'username': 'root', 'pid': 485, 'vms': 0.0}
{'name': 'card0-crtc1', 'username': 'root', 'pid': 487, 'vms': 0.0}
{'name': 'card0-crtc2', 'username': 'root', 'pid': 488, 'vms': 0.0}
{'name': 'kworker/u17:1-rb_allocator', 'username': 'root', 'pid': 504, 'vms': 0.0}
{'name': 'systemd-resolved', 'username': 'systemd-resolve', 'pid': 652, 'vms': 23.84375}
{'name': 'systemd-timesyncd', 'username': 'systemd-timesync', 'pid': 653, 'vms': 88.77734375}
{'name': 'accounts-daemon', 'username': 'root', 'pid': 691, 'vms': 233.58203125}
{'name': 'acpid', 'username': 'root', 'pid': 692, 'vms': 2.48828125}
{'name': 'avahi-daemon', 'username': 'avahi', 'pid': 695, 'vms': 8.3359375}
{'name': 'bluetoothd', 'username': 'root', 'pid': 696, 'vms': 8.23046875}
{'name': 'cron', 'username': 'root', 'pid': 698, 'vms': 9.203125}
{'name': 'cupsd', 'username': 'root', 'pid': 699, 'vms': 27.90234375}
{'name': 'dbus-daemon', 'username': 'messagebus', 'pid': 701, 'vms': 9.6171875}
{'name': 'NetworkManager', 'username': 'root', 'pid': 704, 'vms': 328.62109375}
{'name': 'irqbalance', 'username': 'root', 'pid': 709, 'vms': 80.015625}
{'name': 'networkd-dispat', 'username': 'root', 'pid': 711, 'vms': 38.765625}
{'name': 'polkitd', 'username': 'root', 'pid': 714, 'vms': 235.4296875}
{'name': 'rsyslogd', 'username': 'syslog', 'pid': 718, 'vms': 219.265625}
{'name': 'snapd', 'username': 'root', 'pid': 724, 'vms': 1431.44921875}
{'name': 'switcheroo-control', 'username': 'root', 'pid': 732, 'vms': 230.08203125}
{'name': 'systemd-logind', 'username': 'root', 'pid': 735, 'vms': 17.0}
{'name': 'thermald', 'username': 'root', 'pid': 736, 'vms': 123.30859375}
{'name': 'udisksd', 'username': 'root', 'pid': 737, 'vms': 384.45703125}
{'name': 'wpa_supplicant', 'username': 'root', 'pid': 738, 'vms': 13.7265625}
{'name': 'avahi-daemon', 'username': 'avahi', 'pid': 744, 'vms': 8.15234375}
{'name': 'cups-browsed', 'username': 'root', 'pid': 775, 'vms': 172.171875}
{'name': 'ModemManager', 'username': 'root', 'pid': 786, 'vms': 307.7265625}
{'name': 'unattended-upgr', 'username': 'root', 'pid': 855, 'vms': 115.3828125}
{'name': 'kworker/1:2-events', 'username': 'root', 'pid': 920, 'vms': 0.0}
{'name': 'whoopsie', 'username': 'whoopsie', 'pid': 941, 'vms': 171.16015625}
{'name': 'kerneloops', 'username': 'kernoops', 'pid': 942, 'vms': 11.0}
{'name': 'kerneloops', 'username': 'kernoops', 'pid': 944, 'vms': 11.0}
{'name': 'gdm3', 'username': 'root', 'pid': 950, 'vms': 234.00390625}
{'name': 'rtkit-daemon', 'username': 'rtkit', 'pid': 982, 'vms': 149.3515625}
{'name': 'upowerd', 'username': 'root', 'pid': 1067, 'vms': 246.3828125}
{'name': 'colord', 'username': 'colord', 'pid': 1275, 'vms': 240.43359375}
{'name': 'gdm-session-worker', 'username': 'root', 'pid': 1324, 'vms': 163.26953125}
{'name': 'systemd', 'username': 'gaurav', 'pid': 1332, 'vms': 19.43359375}
{'name': '(sd-pam)', 'username': 'gaurav', 'pid': 1333, 'vms': 101.7734375}
{'name': 'pulseaudio', 'username': 'gaurav', 'pid': 1338, 'vms': 2216.41796875}
{'name': 'tracker-miner-fs', 'username': 'gaurav', 'pid': 1340, 'vms': 645.04296875}
{'name': 'dbus-daemon', 'username': 'gaurav', 'pid': 1344, 'vms': 9.640625}
{'name': 'gnome-keyring-daemon', 'username': 'gaurav', 'pid': 1350, 'vms': 234.55859375}
{'name': 'gvfsd', 'username': 'gaurav', 'pid': 1362, 'vms': 234.08984375}
{'name': 'gvfsd-fuse', 'username': 'gaurav', 'pid': 1368, 'vms': 369.48046875}
{'name': 'gvfs-udisks2-volume-monitor', 'username': 'gaurav', 'pid': 1375, 'vms': 306.5859375}
{'name': 'gvfs-gphoto2-volume-monitor', 'username': 'gaurav', 'pid': 1385, 'vms': 232.53515625}
{'name': 'krfcommd', 'username': 'root', 'pid': 1386, 'vms': 0.0}
{'name': 'gvfs-mtp-volume-monitor', 'username': 'gaurav', 'pid': 1390, 'vms': 230.1796875}
{'name': 'gvfs-afc-volume-monitor', 'username': 'gaurav', 'pid': 1394, 'vms': 309.3046875}
{'name': 'gvfs-goa-volume-monitor', 'username': 'gaurav', 'pid': 1400, 'vms': 230.3515625}
{'name': 'goa-daemon', 'username': 'gaurav', 'pid': 1404, 'vms': 540.41015625}
{'name': 'goa-identity-service', 'username': 'gaurav', 'pid': 1411, 'vms': 307.25390625}
{'name': 'gdm-x-session', 'username': 'gaurav', 'pid': 1428, 'vms': 160.17578125}
{'name': 'Xorg', 'username': 'gaurav', 'pid': 1430, 'vms': 571.421875}
{'name': 'gnome-session-binary', 'username': 'gaurav', 'pid': 1442, 'vms': 183.68359375}
{'name': 'ssh-agent', 'username': 'gaurav', 'pid': 1509, 'vms': 5.8984375}
{'name': 'at-spi-bus-launcher', 'username': 'gaurav', 'pid': 1529, 'vms': 298.26953125}
{'name': 'dbus-daemon', 'username': 'gaurav', 'pid': 1534, 'vms': 7.078125}
{'name': 'gnome-session-ctl', 'username': 'gaurav', 'pid': 1542, 'vms': 87.953125}
{'name': 'gnome-session-binary', 'username': 'gaurav', 'pid': 1549, 'vms': 544.84375}
{'name': 'gnome-shell', 'username': 'gaurav', 'pid': 1563, 'vms': 4391.18359375}
{'name': 'ibus-daemon', 'username': 'gaurav', 'pid': 1591, 'vms': 375.66796875}
{'name': 'ibus-memconf', 'username': 'gaurav', 'pid': 1595, 'vms': 158.890625}
{'name': 'ibus-extension-gtk3', 'username': 'gaurav', 'pid': 1596, 'vms': 266.3359375}
{'name': 'ibus-x11', 'username': 'gaurav', 'pid': 1598, 'vms': 188.91796875}
{'name': 'ibus-portal', 'username': 'gaurav', 'pid': 1601, 'vms': 230.8359375}
{'name': 'at-spi2-registryd', 'username': 'gaurav', 'pid': 1613, 'vms': 159.0234375}
{'name': 'xdg-permission-store', 'username': 'gaurav', 'pid': 1617, 'vms': 230.078125}
{'name': 'gnome-shell-calendar-server', 'username': 'gaurav', 'pid': 1619, 'vms': 567.37109375}
{'name': 'evolution-source-registry', 'username': 'gaurav', 'pid': 1628, 'vms': 381.125}
{'name': 'evolution-calendar-factory', 'username': 'gaurav', 'pid': 1637, 'vms': 891.03515625}
{'name': 'dconf-service', 'username': 'gaurav', 'pid': 1641, 'vms': 152.8203125}
{'name': 'evolution-addressbook-factory', 'username': 'gaurav', 'pid': 1650, 'vms': 729.421875}
{'name': 'nautilus', 'username': 'gaurav', 'pid': 1665, 'vms': 1111.40234375}
{'name': 'gjs', 'username': 'gaurav', 'pid': 1667, 'vms': 2933.609375}
{'name': 'gvfsd-trash', 'username': 'gaurav', 'pid': 1679, 'vms': 306.60546875}
{'name': 'gsd-a11y-settings', 'username': 'gaurav', 'pid': 1685, 'vms': 302.41015625}
{'name': 'gsd-color', 'username': 'gaurav', 'pid': 1687, 'vms': 416.3984375}
{'name': 'gsd-datetime', 'username': 'gaurav', 'pid': 1688, 'vms': 364.8671875}
{'name': 'gsd-housekeeping', 'username': 'gaurav', 'pid': 1689, 'vms': 306.5546875}
{'name': 'gsd-keyboard', 'username': 'gaurav', 'pid': 1691, 'vms': 333.4453125}
{'name': 'gsd-media-keys', 'username': 'gaurav', 'pid': 1692, 'vms': 875.859375}
{'name': 'gsd-power', 'username': 'gaurav', 'pid': 1693, 'vms': 405.95703125}
{'name': 'gsd-print-notifications', 'username': 'gaurav', 'pid': 1694, 'vms': 242.28515625}
{'name': 'gsd-rfkill', 'username': 'gaurav', 'pid': 1696, 'vms': 446.390625}
{'name': 'gsd-screensaver-proxy', 'username': 'gaurav', 'pid': 1698, 'vms': 229.9921875}
{'name': 'gsd-sharing', 'username': 'gaurav', 'pid': 1699, 'vms': 453.8984375}
{'name': 'gsd-smartcard', 'username': 'gaurav', 'pid': 1700, 'vms': 307.78125}
{'name': 'gsd-sound', 'username': 'gaurav', 'pid': 1702, 'vms': 311.875}
{'name': 'gsd-usb-protection', 'username': 'gaurav', 'pid': 1703, 'vms': 375.94921875}
{'name': 'gsd-wacom', 'username': 'gaurav', 'pid': 1706, 'vms': 332.97265625}
{'name': 'gsd-wwan', 'username': 'gaurav', 'pid': 1709, 'vms': 306.734375}
{'name': 'gsd-xsettings', 'username': 'gaurav', 'pid': 1710, 'vms': 334.1171875}
{'name': 'evolution-alarm-notify', 'username': 'gaurav', 'pid': 1759, 'vms': 628.97265625}
{'name': 'gsd-disk-utility-notify', 'username': 'gaurav', 'pid': 1762, 'vms': 226.37109375}
{'name': 'gsd-printer', 'username': 'gaurav', 'pid': 1794, 'vms': 334.1640625}
{'name': 'snap-store', 'username': 'gaurav', 'pid': 1830, 'vms': 967.6796875}
{'name': 'ibus-engine-simple', 'username': 'gaurav', 'pid': 1833, 'vms': 158.88671875}
{'name': 'xdg-document-portal', 'username': 'gaurav', 'pid': 1860, 'vms': 446.70703125}
{'name': 'xdg-desktop-portal', 'username': 'gaurav', 'pid': 1977, 'vms': 451.734375}
{'name': 'xdg-desktop-portal-gtk', 'username': 'gaurav', 'pid': 1981, 'vms': 478.5625}
{'name': 'fwupd', 'username': 'root', 'pid': 1992, 'vms': 381.39453125}
{'name': 'gvfsd-metadata', 'username': 'gaurav', 'pid': 2010, 'vms': 160.57421875}
{'name': 'evince', 'username': 'gaurav', 'pid': 2081, 'vms': 1190.7421875}
{'name': 'evinced', 'username': 'gaurav', 'pid': 2089, 'vms': 152.40234375}
{'name': 'update-notifier', 'username': 'gaurav', 'pid': 2106, 'vms': 406.8984375}
{'name': 'gedit', 'username': 'gaurav', 'pid': 2120, 'vms': 808.17578125}
{'name': 'kworker/4:0-events', 'username': 'root', 'pid': 2298, 'vms': 0.0}
{'name': 'kworker/u16:1-i915', 'username': 'root', 'pid': 2300, 'vms': 0.0}
{'name': 'kworker/7:0', 'username': 'root', 'pid': 2306, 'vms': 0.0}
{'name': 'gnome-terminal-server', 'username': 'gaurav', 'pid': 2353, 'vms': 802.56640625}
{'name': 'bash', 'username': 'gaurav', 'pid': 2360, 'vms': 10.49609375}
{'name': 'kworker/5:0', 'username': 'root', 'pid': 2374, 'vms': 0.0}
{'name': 'tracker-store', 'username': 'gaurav', 'pid': 2455, 'vms': 424.65625}
{'name': 'python3', 'username': 'gaurav', 'pid': 2499, 'vms': 20.9453125}
